"Date","Close","Open","High","Low","Vol","Change %"
"07/08/2019","13,082.2","13,212.5","13,212.5","13,030.0","1.67M","-0.99%"
"07/05/2019","13,212.5","13,290.6","13,290.6","13,134.3","3.29M","0.60%"
"07/04/2019","13,134.3","12,951.9","13,186.4","12,899.7","3.19M","1.41%"
"07/03/2019","12,951.9","12,977.9","12,977.9","12,873.7","807.69K","0.40%"
"07/02/2019","12,899.7","13,030.0","13,056.1","12,873.7","887.77K","-1.00%"
"07/01/2019","13,030.0","13,056.1","13,082.2","12,925.8","1.61M","0.81%"
"06/28/2019","12,925.8","12,925.8","12,925.8","12,795.5","1.04M","0.81%"
"06/27/2019","12,821.6","12,873.7","12,925.8","12,769.4","2.53M","-0.81%"
"06/26/2019","12,925.8","12,899.7","13,004.0","12,899.7","1.84M","-0.20%"
"06/25/2019","12,951.9","12,899.7","13,030.0","12,899.7","1.21M","-0.20%"
"06/24/2019","12,977.9","13,134.3","13,160.3","12,873.7","3.23M","-0.80%"
"06/21/2019","13,082.2","13,082.2","13,238.5","13,082.2","3.02M","0.00%"
"06/20/2019","13,082.2","12,951.9","13,160.3","12,925.8","2.36M","1.21%"
"06/19/2019","12,925.8","12,847.6","12,951.9","12,821.6","1.11M","1.43%"
"06/18/2019","12,743.4","12,821.6","12,873.7","12,743.4","1.55M","-0.61%"
"06/17/2019","12,821.6","12,873.7","12,977.9","12,821.6","1.02M","-0.81%"
"06/14/2019","12,925.8","12,925.8","13,056.1","12,925.8","668.23K","0.00%"
"06/13/2019","12,925.8","12,873.7","12,977.9","12,847.6","1.12M","-0.20%"
"06/12/2019","12,951.9","13,134.3","13,134.3","12,925.8","904.85K","-1.39%"
